name,path,type,size,parent
.git,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git,directory,30208,q4p8
zad_2,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_2,directory,676,q4p8
zad_3,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_3,directory,281,q4p8
zad_4,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_4,directory,106,q4p8
zad_5,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_5,directory,400,q4p8
ex1.py,c:\Users\User\PycharmProjects\Gbpractic\q4p8\ex1.py,file,5803,q4p8
testcsv.csv,c:\Users\User\PycharmProjects\Gbpractic\q4p8\testcsv.csv,file,8530,q4p8
testjson.json,c:\Users\User\PycharmProjects\Gbpractic\q4p8\testjson.json,file,13662,q4p8
hooks,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks,directory,25827,.git
info,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\info,directory,240,.git
logs,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\logs,directory,484,.git
objects,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects,directory,2399,.git
refs,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\refs,directory,82,.git
COMMIT_EDITMSG,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\COMMIT_EDITMSG,file,5,.git
config,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\config,file,300,.git
description,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\description,file,73,.git
HEAD,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\HEAD,file,21,.git
index,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\index,file,777,.git
applypatch-msg.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\applypatch-msg.sample,file,478,hooks
commit-msg.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\commit-msg.sample,file,896,hooks
fsmonitor-watchman.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\fsmonitor-watchman.sample,file,4726,hooks
post-update.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\post-update.sample,file,189,hooks
pre-applypatch.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\pre-applypatch.sample,file,424,hooks
pre-commit.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\pre-commit.sample,file,1649,hooks
pre-merge-commit.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\pre-merge-commit.sample,file,416,hooks
pre-push.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\pre-push.sample,file,1374,hooks
pre-rebase.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\pre-rebase.sample,file,4898,hooks
pre-receive.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\pre-receive.sample,file,544,hooks
prepare-commit-msg.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\prepare-commit-msg.sample,file,1492,hooks
push-to-checkout.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\push-to-checkout.sample,file,2783,hooks
sendemail-validate.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\sendemail-validate.sample,file,2308,hooks
update.sample,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\hooks\update.sample,file,3650,hooks
exclude,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\info\exclude,file,240,info
refs,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\logs\refs,directory,320,logs
HEAD,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\logs\HEAD,file,164,logs
heads,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\logs\refs\heads,directory,164,refs
remotes,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\logs\refs\remotes,directory,156,refs
main,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\logs\refs\heads\main,file,164,heads
origin,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\logs\refs\remotes\origin,directory,156,remotes
main,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\logs\refs\remotes\origin\main,file,156,origin
29,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\29,directory,58,objects
4d,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\4d,directory,97,objects
65,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\65,directory,1082,objects
8c,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\8c,directory,54,objects
9e,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\9e,directory,123,objects
a9,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\a9,directory,159,objects
b2,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\b2,directory,162,objects
bf,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\bf,directory,113,objects
cc,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\cc,directory,110,objects
da,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\da,directory,60,objects
de,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\de,directory,140,objects
e5,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\e5,directory,88,objects
e6,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\e6,directory,15,objects
f5,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\f5,directory,138,objects
info,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\info,directory,0,objects
pack,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\pack,directory,0,objects
926723e1f6a8cabd4fd240b62c64d87f796fa5,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\29\926723e1f6a8cabd4fd240b62c64d87f796fa5,file,58,29
46365fa557109d8f0336946275e69cf8e21de0,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\4d\46365fa557109d8f0336946275e69cf8e21de0,file,97,4d
9bb5907d446e1dbff6a3b46d4093c7de5c8e04,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\65\9bb5907d446e1dbff6a3b46d4093c7de5c8e04,file,1082,65
d5ba2b14220cad415f500c72da9e3222a2ddbf,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\8c\d5ba2b14220cad415f500c72da9e3222a2ddbf,file,54,8c
0d5b5aaf7207b007bdb75332bda5cc86fb0c83,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\9e\0d5b5aaf7207b007bdb75332bda5cc86fb0c83,file,123,9e
e05a7d9c38349df39fdc351879c7389b584baf,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\a9\e05a7d9c38349df39fdc351879c7389b584baf,file,159,a9
15a058d6fedec3f0d32f82a9978acf9aa4f0c4,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\b2\15a058d6fedec3f0d32f82a9978acf9aa4f0c4,file,162,b2
39dc288627904c08a9b38c3f3a4dfac0f1c82e,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\bf\39dc288627904c08a9b38c3f3a4dfac0f1c82e,file,113,bf
0f07f9f518a7a1c39b16b5d842249b69049a7f,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\cc\0f07f9f518a7a1c39b16b5d842249b69049a7f,file,110,cc
77a17662b2d3c01c3583888aa05d9dc88590be,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\da\77a17662b2d3c01c3583888aa05d9dc88590be,file,60,da
003a31e71579483f7af43fc1a03ac710a970b3,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\de\003a31e71579483f7af43fc1a03ac710a970b3,file,140,de
47f9e6dbc24a953c91e5820df436b4e1804512,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\e5\47f9e6dbc24a953c91e5820df436b4e1804512,file,88,e5
9de29bb2d1d6434b8b29ae775ad8c2e48c5391,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\e6\9de29bb2d1d6434b8b29ae775ad8c2e48c5391,file,15,e6
a1ad15ba5ec38fd67d408d6229d307326a4e91,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\objects\f5\a1ad15ba5ec38fd67d408d6229d307326a4e91,file,138,f5
heads,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\refs\heads,directory,41,refs
remotes,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\refs\remotes,directory,41,refs
tags,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\refs\tags,directory,0,refs
main,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\refs\heads\main,file,41,heads
origin,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\refs\remotes\origin,directory,41,remotes
main,c:\Users\User\PycharmProjects\Gbpractic\q4p8\.git\refs\remotes\origin\main,file,41,origin
employees1.json,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_2\employees1.json,file,277,zad_2
employees2.json,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_2\employees2.json,file,260,zad_2
employees3.json,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_2\employees3.json,file,139,zad_2
products.json,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_3\products.json,file,281,zad_3
sales.csv,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_4\sales.csv,file,106,zad_4
students.json,c:\Users\User\PycharmProjects\Gbpractic\q4p8\zad_5\students.json,file,400,zad_5
